Relative Position,Position X,Position Y,laptopap,rp1ap,rp2ap
Relative Position,Position X,Position Y,2437,2437,2437
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,00:23:eb:08:cf:c3
41,5,3,-51,-79,-55
42,5,4,-49,-37,-58
42,5,4,-79,-40,-58
42,5,4,-46,-39,-58
42,5,4,-48,-38,-58
42,5,4,-53,-40,-62
43,5,5,100,100,100
43,5,5,-50,-38,-67
43,5,5,-51,-38,-64
43,5,5,-51,-38,-59
43,5,5,-50,-38,-59
44,5,6,-50,-38,-59
44,5,6,-58,-44,-68
44,5,6,-50,-39,-63
44,5,6,-55,-37,-63
44,5,6,-46,-43,-66
45,5,7,-51,-40,-61
45,5,7,-50,-38,-64
45,5,7,-57,-37,-60
45,5,7,-51,-40,-64
45,5,7,-55,-43,-64
46,5,8,-51,-41,-64
46,5,8,-52,-43,-61
46,5,8,-58,-44,-59
46,5,8,-55,-40,-58
46,5,8,-55,-43,-57
47,5,9,-48,-40,-59
47,5,9,-55,-49,-64
47,5,9,-47,-43,-65
47,5,9,-48,-43,-65
47,5,9,-48,-43,-65
